track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
459,542,1,2022,3,18,651,0,212234990,6,188,20,0,0.0,120,,Major,58,71,80,15,0,7,41
812,524,1,2016,9,23,12382,0,1714490998,229,57,"1,370",2,71.0,122,,Major,86,97,80,36,0,9,6
358,68,2,2022,3,18,625,0,197643795,10,2,13,0,1.0,98,,Major,78,83,75,41,0,27,8
302,223,1,2019,12,13,8429,1,807015863,85,24,200,0,2.0,140,,Minor,45,25,84,21,0,13,6
296,453,3,2013,1,1,52898,0,933815613,203,1,"8,215",0,0.0,116,,Minor,79,87,81,4,0,10,4
34,135,1,2021,6,25,3436,0,499710590,32,6,46,0,1.0,124,,Major,86,62,49,51,0,35,21
540,262,6,2022,2,25,918,0,120847157,34,39,30,0,0.0,105,,Minor,91,73,72,13,0,9,15
747,35,1,2022,4,5,181,0,53909146,16,14,7,0,0.0,118,,Major,68,24,58,44,0,6,3
597,159,1,2014,6,20,18778,3,2236667932,228,105,"2,453",0,84.0,108,,Major,61,20,38,61,0,10,5
451,270,1,2015,11,9,22730,5,2123309722,289,87,"2,430",0,36.0,100,,Major,61,53,38,84,0,28,44
526,296,1,2022,5,13,5542,0,301242089,52,16,65,0,206.0,140,,Minor,81,39,66,38,0,12,14
22,342,1,2022,4,14,9021,0,723894473,242,49,272,21,24.0,109,,Minor,84,72,74,10,0,34,7
202,300,3,2022,5,13,4627,0,237351106,38,13,32,0,0.0,101,,Minor,78,40,74,36,0,17,27
197,43,1,2022,5,6,2229,0,461558540,27,44,24,0,5.0,78,,Major,56,61,90,36,0,18,31
839,43,1,2022,5,6,1112,6,417230415,7,30,13,1,1.0,93,,Minor,79,22,55,31,0,12,5
845,296,1,2022,5,13,2575,0,156898322,4,5,12,0,51.0,87,,Major,52,32,83,24,0,17,43
268,305,2,2022,5,13,3107,0,127309180,4,0,22,0,0.0,153,,Minor,55,50,78,19,0,11,35
900,43,1,2022,5,6,1179,0,313113297,7,21,11,0,0.0,142,,Major,87,93,59,28,0,17,5
640,296,1,2022,5,13,3486,0,173702135,20,10,33,0,0.0,96,,Minor,85,41,43,39,0,12,21
163,464,2,2022,5,12,2942,0,271666301,42,28,43,0,0.0,125,,Major,50,39,78,4,0,11,33
488,43,1,2022,5,6,1443,0,305650299,9,11,22,1,0.0,85,,Major,71,43,65,23,0,9,5
706,303,2,2022,5,13,3028,0,123216717,22,0,23,0,0.0,140,,Minor,92,78,57,46,0,14,9
406,594,2,2022,5,6,1796,8,479655659,8,25,18,1,0.0,196,,Minor,66,58,79,23,0,22,20
164,296,1,2022,5,13,2729,0,126191104,3,7,13,0,1.0,134,,Major,78,51,43,69,0,14,9
46,79,2,2022,5,6,1195,0,344055883,8,30,13,1,1.0,103,,Minor,80,45,62,76,0,10,38
217,43,1,2022,5,6,892,3,338422004,10,24,11,0,0.0,130,,Major,82,50,67,12,0,13,5
871,307,2,2022,5,13,1635,0,68895644,4,1,6,0,0.0,108,,Major,65,52,69,31,0,8,36
673,304,3,2022,5,13,2291,0,86176890,9,0,8,0,0.0,123,,Major,61,66,71,53,0,32,46
837,43,1,2022,5,6,1029,28,403231558,5,28,9,0,0.0,152,,Major,84,74,69,21,0,18,6
569,49,2,2022,5,6,1681,7,319546754,10,30,13,0,33.0,108,,Major,78,55,60,59,0,7,4
890,296,1,2022,5,13,1480,0,61739839,1,0,5,0,0.0,72,,Minor,56,56,47,76,0,8,36
31,43,1,2022,5,6,829,0,283359161,4,15,10,0,0.0,121,,Minor,86,67,65,42,0,35,7
